Name,Rarity,Type,Properties,Location,Description
Abdel's Trusted Shield,Very Rare,Shield,🛡️ + 2 AC,Lower City,"When you are hit with a melee attack, you can use your reaction to knock them Prone unless they succeed a Dexterity Saving Throw.
Cast Protection from Missiles once per Short Rest."
Absolute Confidence Amulet,Uncommon,Amulet,,Wyrm's Crossing,"Performance + 1
Intimidation - 1"
After Death Do Us Part,Rare,Ring,,Lower City,"When you are downed, you regain ❤️(Half your Maximum) Hit Points and are affected by Shadow Possession."
Ambusher,Rare,Shortsword,1h 🏹(1d6 + 1),Rivington,"Deal an additional 💀(1d6) against creatures that haven't taken a turn yet.
Gain a +1 bonus to Initiative rolls and Advantage on Perception Ability Checks."
Amulet of Bhaal,Legendary,Amulet,,Murder Tribunal,"On a hit, inflict Bleeding to targets that have maximum Hit Points."
Amulet of Elemental Torment,Uncommon,Amulet,,House of Hope,"When you stand on certain surfaces and cast a spell that deals damage, the target also suffers the surface's effects."
Amulet of Greater Health,Very Rare,Amulet,,House of Hope,"Increases Constitution to 23.
Advantage on Constitution Saving Throws Checks:."
Amulet of the Devout,Very Rare,Amulet,,Stormshore Tabernacle,"Gain a +2 bonus to Spell Save DC.
Gain 1 additional use of Channel Divinity once per Long Rest."
Amulet of the Drunkard,Rare,Amulet,,Wyrm's Crossing,"Regain ❤️(2d4) Hit Points per turn while Drunk. Additionally, increase the duration of your inebriation by 5 turns."
Amulet of Windrider,Very Rare,Amulet,,Lower City,"Cast Ride the Winds
Cast Gust of Wind once per Short Rest."
Armour of Agility,Very Rare,Medium Armour,🛡️ 17 AC,Stormshore Armoury,"Add 🛡️ + (Dexterity Modifier) to your AC. This armour does not impose Disadvantage on Stealth Ability Checks.
Saving Throw +2."
Armour of Landfall,Very Rare,Light Armour,🛡️ 13 AC,Sorcerous Sundries,"Gain a +1 bonus to Spell Save DC.
Regain ❤️(1d4) Hit Points when you start your turn on a Plant Growth Surface or Vine Surface.
Advantage on Constitution Saving Throw.
Cast Plant Growth"
Armour of Moonbasking,Very Rare,Light Armour,🛡️ 11 AC,Lower City,"Gain ❤️(22) Temporary Hit Points after casting Wild Shape. Reduce all incoming damage by 1 while those Temporary Hit Points are active.
🛡️ + 2 AC and Advantage on Saving Throws against spells. This effect persists while using your druidic Wild Shape ability."
